Transaction ID,Stage,Entity,Timestamp,RFID ID,GPS Latitude,GPS Longitude,Temperature,Humidity,Route ID,Speed,Delivery Status,Risk Factor,Delay Time,Cost,Disruption Type,battery_level,battery_status
TXN_1,Warehouse,Carrier B,2024-04-07 11:52:52.342727,RFID_100,35.9256646441931,-78.69147158132047,25.27163473940041,60.03971147985149,Route_1,45.42719682496979,In Transit,Traffic,1.862373826986598,374.120565776328,Weather,87.96223239821255,Good
TXN_10,Logistics,Retailer D,2024-12-29 11:52:52.342727,RFID_109,37.447124818215705,-77.56214403163308,-2.667389039612194,23.96763025160848,Route_10,48.73118791349804,In Transit,Equipment Failure,9.995126813194291,67.87004340751125,Traffic Jam,88.62617514110539,Good
TXN_100,Manufacturing,Warehouse C,2024-02-21 11:52:52.342727,RFID_199,36.75062629583365,-78.02014763668772,14.511225668467644,21.94965685747521,Route_100,13.593027930737607,In Transit,Equipment Failure,42.70795153417824,313.1405637517871,Strike,85.9611700822278,Good
TXN_1000,Warehouse,Supplier A,2024-11-20 11:52:52.346721,RFID_1099,36.410935373466,-75.64292982904573,2.26153112747724,61.81186648314983,Route_1000,23.444347260378887,In Transit,Weather,5.015055204189988,469.3748628444674,Strike,94.21861746091898,Good
TXN_101,Warehouse,Warehouse C,2024-02-17 11:52:52.342727,RFID_200,35.28921338281698,-75.42454965796479,-0.831853262688476,64.19627282337757,Route_101,50.417066272138825,In Transit,Weather,0.4399464088231912,417.3025333382601,Traffic Jam,99.46267066475619,Good
TXN_102,Logistics,Carrier B,2024-10-24 11:52:52.342727,RFID_201,39.84551315070406,-77.3348556637693,28.677295735430413,49.847884976113576,Route_102,61.98517725734203,In Transit,Weather,9.667156934106597,494.71795181443406,Strike,92.97068760433449,Good
TXN_103,Logistics,Retailer D,2024-10-19 11:52:52.342727,RFID_202,39.41892942481713,-79.21022588582326,36.15468987318515,58.37016419096154,Route_103,61.38163483769303,In Transit,Weather,46.03316044670237,224.9831734133524,Equipment Failure,87.93586493073786,Good
TXN_104,Retailer,Supplier A,2024-07-16 11:52:52.342727,RFID_203,39.63876141597606,-76.52050440915599,14.530943771894147,32.22530301274307,Route_104,39.918402295692864,Delivered,Weather,29.443288633064213,71.33703626303821,Equipment Failure,98.85891403376112,Good
TXN_105,Logistics,Carrier B,2024-07-24 11:52:52.342727,RFID_204,39.974539113232176,-76.03369324780873,6.642023896994843,40.71524206056313,Route_105,38.3979862596822,Delivered,Human Error,12.56022559860031,410.52717648289615,Traffic Jam,93.02117096307782,Good
TXN_106,Logistics,Retailer D,2024-02-16 11:52:52.342727,RFID_205,35.869476246097435,-78.41619161466237,14.54814935529744,66.46771323969077,Route_106,19.59612570429381,In Transit,Weather,3.215572531000685,321.97132358726367,Traffic Jam,92.28300630384987,Good
TXN_107,Logistics,Supplier A,2024-05-08 11:52:52.342727,RFID_206,36.981210094513294,-75.71410371500623,27.555151803250048,87.57119065412799,Route_107,43.01184885816416,Delivered,Human Error,1.3531843414666636,139.34428649069076,Traffic Jam,96.00692793668803,Good
TXN_108,Retailer,Carrier B,2024-04-09 11:52:52.342727,RFID_207,38.791192378520456,-75.46928372617117,-4.592562728883306,23.52917415215465,Route_108,18.95452019856682,Delivered,Equipment Failure,11.747763822572509,272.67280547963907,Strike,96.02527355416535,Good
TXN_109,Logistics,Carrier B,2024-07-10 11:52:52.342727,RFID_208,38.48010309026896,-78.61547756311096,21.52542952681137,82.32690245986862,Route_109,78.99363502408464,In Transit,Traffic,42.3113193402677,384.039610490176,Equipment Failure,87.17369523061676,Good
TXN_11,Warehouse,Supplier A,2025-01-03 11:52:52.342727,RFID_110,36.10604720909801,-79.8319319990836,19.69863992848101,22.427089295824647,Route_11,24.894979719729008,In Transit,Equipment Failure,12.023181443988646,427.7336169241724,Weather,99.5665930504483,Good
TXN_110,Warehouse,Warehouse C,2024-09-10 11:52:52.342727,RFID_209,35.769479531699275,-75.08239263642389,22.598125819932054,60.38168409178459,Route_110,96.96468679733673,In Transit,Weather,19.96385540628045,396.6853041808897,Equipment Failure,98.2512559868049,Good
TXN_111,Retailer,Supplier A,2024-09-26 11:52:52.342727,RFID_210,39.07916562495309,-79.29644235975621,23.695971110317096,59.47436967289366,Route_111,97.30670110000362,In Transit,Traffic,34.576001719967664,274.8282853994429,Weather,92.86578574009809,Good
TXN_112,Warehouse,Supplier A,2024-07-02 11:52:52.342727,RFID_211,36.1222028591833,-78.98992165798755,5.890993599139474,55.01949746454322,Route_112,87.85639894378545,Delivered,Equipment Failure,44.07768169823797,187.3465385579866,Weather,91.18388500170997,Good
TXN_113,Retailer,Retailer D,2024-05-28 11:52:52.342727,RFID_212,36.11908807411312,-79.07887580380986,27.132372552015703,24.85758601329284,Route_113,64.07129344056571,In Transit,Equipment Failure,19.5859421569352,488.18416191732206,Traffic Jam,92.1363760598659,Good
TXN_114,Logistics,Warehouse C,2024-10-13 11:52:52.342727,RFID_213,37.68487211446707,-75.53005144996065,-0.8873831150700617,26.29137962153125,Route_114,73.07791275194919,Delivered,Weather,9.18131380979506,348.51317493042177,Strike,95.73860523935677,Good
TXN_115,Warehouse,Warehouse C,2024-03-10 11:52:52.342727,RFID_214,37.96469967420852,-76.7285372383752,3.9671651410060367,62.06384039613603,Route_115,35.66852224123727,In Transit,Equipment Failure,24.821660681132137,233.70688370583443,Traffic Jam,89.05991881914476,Good
TXN_116,Retailer,Warehouse C,2025-01-18 11:52:52.342727,RFID_215,37.90043103918906,-79.23947858388864,34.48615209945169,43.86710000048908,Route_116,66.76933781553586,Delivered,Traffic,43.58801697887301,176.2084508920936,Equipment Failure,91.50294988154465,Good
TXN_117,Manufacturing,Warehouse C,2024-10-13 11:52:52.342727,RFID_216,35.45743418698878,-77.79838290815826,28.242541782695483,84.20876466043765,Route_117,51.00845944958897,Delivered,Weather,38.60997187860963,378.99634235160295,Traffic Jam,94.6540118161981,Good
TXN_118,Logistics,Supplier A,2024-06-29 11:52:52.342727,RFID_217,39.3873043131519,-76.92350987465099,-4.381450069489464,48.46133761516306,Route_118,53.38156057992393,In Transit,Human Error,3.1598324814313816,158.98255051719548,Traffic Jam,94.65789193210841,Good
TXN_119,Retailer,Supplier A,2024-05-01 11:52:52.342727,RFID_218,36.32800021294353,-79.58267957505308,6.176931716641009,30.029702109184875,Route_119,78.19989043376421,In Transit,Weather,33.24349440372393,127.26949503815968,Equipment Failure,85.03245560994353,Good
TXN_12,Warehouse,Supplier A,2024-09-14 11:52:52.342727,RFID_111,39.93834003998323,-79.68673398272323,7.94347280696552,47.43373940607363,Route_12,73.5943716094796,In Transit,Human Error,38.683480441605184,251.6768811595933,Strike,93.76741160186653,Good
TXN_120,Manufacturing,Carrier B,2024-11-20 11:52:52.342727,RFID_219,35.64757460641402,-75.5879181579633,4.648291734692405,70.03031834514252,Route_120,35.37265200375265,Delivered,Traffic,27.45108107802978,288.4252500329317,Equipment Failure,87.05029073430757,Good
TXN_121,Retailer,Carrier B,2024-02-21 11:52:52.342727,RFID_220,39.44374039934489,-75.98198232279232,7.1862847616637655,40.534739500870685,Route_121,38.62356505250679,Delivered,Weather,43.558232464628425,180.49432668986384,Equipment Failure,99.74095485791774,Good
TXN_122,Manufacturing,Warehouse C,2024-07-12 11:52:52.342727,RFID_221,39.77825749114877,-77.47396613211681,6.140189662594889,56.78292151491252,Route_122,93.2177612015773,In Transit,Weather,5.879108008814267,333.0073152156268,Equipment Failure,87.23690571447695,Good
TXN_123,Logistics,Warehouse C,2024-10-08 11:52:52.342727,RFID_222,39.31063808632725,-75.16436692370415,-2.1863166915719416,68.8482949853619,Route_123,15.0601865365875,In Transit,Traffic,25.633733433823515,103.07240369340506,Weather,89.43453569624826,Good
TXN_124,Warehouse,Warehouse C,2024-04-17 11:52:52.342727,RFID_223,39.04758037362439,-77.91119510362451,15.652323246856916,83.01848778414492,Route_124,53.70708685720064,Delivered,Weather,42.21420928857083,344.7234970552948,Strike,93.90687005494655,Good
